,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
245,SPAN 20501,Gramática avanzada y cultura contemporánea para la argumentación II,"This course is the second segment of the third-year (advanced) Spanish language sequence. It aims to strengthen all four linguistic skills, advanced argumentation, critical thinking and transcultural competence via discussion of press articles, short stories, films, and recorded interviews with native speakers from a variety of regions. Grammatical structures, syntactic patterns and vocabulary known to be problematic for English speakers will be reviewed and practiced. Controversial topics in politics, contemporary culture and modern Spanish and Latin American history will be debated and discussed orally and in writing through a formal debate, several argumentative essays, weekly posts on online discussion boards, class discussions, and summaries of texts and audios assigned. Students will also be asked to formulate well-supported arguments on these topics, and to reflect on similarities and contrasts between their own culture and those of the Spanish-speaking world.",None,Spring Winter,SPAN 20400 or consent of instructor,None,This course is the equivalent of SPAN 20500
246,SPAN 20402,Curso de redacción académica para hablantes nativos,"This advanced language course helps students achieve mastery of composition and style through the acquisition of numerous writing techniques. A wide variety of literary and non-literary texts are read. Through writing a number of essays and participating in class discussions, students are guided in the examination of linguistic structures and organization of several types of written Spanish discourse. This course also enhances awareness of the cultural diversity within the contemporary Spanish-speaking world and its historical roots.",Staff,Autumn Spring Winter,SPAN 20302 or placement. Open to native and heritage speakers.,None,None
247,SPAN 20602,Discurso académico para hablantes nativos,"The goal of this advanced conversation course is to help students identify and acquire the mechanisms necessary to engage in academic discourse. Throughout the course, students will participate in debates, lectures, and seminars. In addition, they will conduct a formal interview with a Spanish speaker. The topics of the different activities will be selected by the students according to their specializations at the University, but they will always try to establish a relationship with the Spanish-speaking world. All activities will expose the student to different styles of discourse and academic vocabulary. 
To also encourage spontaneous and informal conversation, six student-led get-togethers will be organized on a variety of topics. At the end of the course, students will know how to express themselves orally following the established academic conventions.""",Staff,Spring Winter,SPAN 20302 or placement. Open only to native and heritage speakers with consent of instructor.,None,None
248,SPAN 21100,Las regiones del español,"This sociolinguistic course expands understanding of the historical development of Spanish and awareness of the great sociocultural diversity within the Spanish-speaking world and its impact on the Spanish language. We emphasize the interrelationship between language and culture as well as ethno-historical transformations within the different regions of the Hispanic world. Special consideration is given to identifying lexical variations and regional expressions exemplifying diverse sociocultural aspects of the Spanish language, and to recognizing phonological differences between dialects. We also examine the impact of indigenous cultures on dialectical aspects. The course includes literary and nonliterary texts, audio-visual materials, and visits by native speakers of a variety of Spanish-speaking regions.",Staff,Autumn Spring,SPAN 20300 or placement,LACS 21100,None
249,SPAN 21101,Basque Culture and Society,"Straddling the border of southern France and northern Spain, the Basque Country is the home of a complex national community without a state -but with a language that is unrelated to any other in the world and is perhaps the most remarkable feature of their cultural identity.  Through the analysis of a wide variety of texts and artifacts, this course will give students the the background to navigate through different dimensions of Basque culture (traditions, gastronomy, music, the language) as well as the history that has marked the development of Basque society (including the so-called Basque Conflict).",None,Winter,None,Taught in English. Prior knowledge of Basque language or culture not required.,"BASQ 21100, GLST 21100"
250,SPAN 21150,El español en los Estados Unidos,"This sociolinguistic course expands understanding of both the historical and the contemporary development of Spanish in parts of the United States, and awareness of the great sociocultural diversity within the Spanish-speaking communities in the United States and its impact on the Spanish language. This course emphasizes the interrelationship between language and culture as well as ethno-historical transformations within the different regions of the United States. Special consideration is given to identifying lexical variations and regional expressions exemplifying diverse sociocultural aspects of the Spanish language, and to recognizing phonological differences between dialects. We also examine the impact of English on dialectical aspects. The course includes sociolinguistic texts, audio-visual materials, and visits by native speakers of a variety of Spanish-speaking regions in the United States.",Staff,Winter,SPAN 20300,LACS 21150,None
251,SPAN 21310,Golden Age Poetry Theory and Practice of Lyric Reading,"In this course we will read a few classic Spanish poems of the Golden Age from different methodological and theoretical paradigms. Each class session will revolve around one or a few poems in order to allow time for in-depth discussion and analysis, and we will often pair these lyric texts with influential critical readings of them. On the one hand, this will provide students with an introduction to the main poetic traditions, themes, and authors of the Spanish Golden Age in their historical context. On the other, we will critically examine a varied array of reading strategies and interpretive paradigms, including structuralism and post-structuralism, philology and textual criticism, Marxism, feminist criticism and gender studies, New Historicism, and emerging scholarship in ""lyric theory."" Moreover, we will engage in a discussion about the value, the meaning, and the social uses of poetry broadly considered.",Miguel Martínez,None,None,Taught in Spanish. Course not offered in 24-25,SPAN 31310
252,SPAN 21500,Introducción al análisis literario,"Through a variety of representative works of Hispanic literature, this course focuses on the discussion and practical application of different approaches to the critical reading of literary texts. We also study basic concepts and problems of literary theory, as well as strategies for research and academic writing in Spanish.",Mario Santana,None,SPAN 20300 or consent of instructor.,None,Taught in Spanish. Course not offered in 24-25
253,SPAN 21610,"Catalan Culture and Society: Art, Music, and Cinema","This course provides an interdisciplinary survey of contemporary Catalonia. We study a wide range of its cultural manifestations (architecture, paintings, music, arts of the body, literature, cinema, gastronomy). Attention is also paid to some sociolinguistic issues, such as the coexistence of Catalan and Spanish, and the standardization of Catalan.",Bel Olid,Spring,None,The course will be conducted in English.,"GLST 21601, CATA 21600"
254,SPAN 21703,Introducción a las literaturas hispánicas: textos españoles clásicos,"This course involves careful reading and discussion of significant works from the Spanish Middle Ages, Renaissance, and the Golden Age, including Juan Manuel's Conde Lucanor, Jorge Manrique's Coplas, the anonymous Lazarillo de Tormes, and the theater of Calderón.",None,None,SPAN 20300 or consent of instructor.,Taught in Spanish. Course not offered in 24-25,MDVL 21703
255,SPAN 21705,Iberian Literatures and Cultures: Medieval and Early Modern,"This course explores Spanish language, literature, and culture focusing on premodern Iberian texts and artifacts. We will start by anonymous ""Cantar de Mio Cid,"" the first great vernacular epic in the Middle Ages, and we will end in Maria de Zayas's ""Novelas ejemplares,"" one of the finest expressions of European early modern short story. Between these two literary works we will talk about music, painting, witchcraft, conversion, and the Inquisition as milestones of a five-century span. In this time Spanish consolidates as a written language, while numerous political and religious conflicts mark the struggle for hegemony in the Iberian Peninsula. In addition to enhancing your knowledge of Iberian cultural history and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.",Noel Blanco Mourelle,Winter,SPAN 20300 or consent of instructor.,Taught in Spanish. This course is the equivalent of SPAN 21703.,MDVL 21705
256,SPAN 21803,Introducción a las literaturas hispánicas: textos españoles contemporáneos,"Este curso ofrecerá un amplio panorama de las literaturas españolas de los siglos XIX y XX. Buena parte de la historia cultural de España ha estado marcada por la ansiedad respecto al supuesto atraso cultural, político, social y económico del país. La modernidad se convierte así en objeto de deseo y de disputa cultural para los intelectuales españoles que luchan por definir en qué consiste y cómo alcanzarla. Este es el tema que nos guiará, de manera flexible, por las obras de autores como Mariano José de Larra, Gustavo Adolfo Bécquer, Rosalía de Castro, Emilia Pardo Bazán, Leopoldo Alas Clarín, Antonio Machado, Federico García Lorca, Ana María Matute, Max Aub y Manuel Rivas, entre otros, complementadas por algunas películas. En relación con este tema principal, se explorarán también el lugar del campo y la ciudad en la imaginación moderna, la cuestión nacional, las luchas por la emancipación de la mujer, las tensión creativa entre tradición y vanguardia artística, o los debates sobre la historia y la memoria del pasado reciente de España.",None,None,SPAN 20300 or consent of instructor.,None,Taught in Spanish. Course not offered in 24-25
257,SPAN 21805,Iberian Literatures and Cultures: Modern and Contemporary,"This is a survey of the literatures and cultures of Spain from the 19th to the 21st centuries. The course offers an introduction to key historical moments of Spanish modernity, including the age of liberalism and the end of the empire, the Civil War and the Spanish exile, and the fight for democracy and equality in the Transition period and in the present day. Through literature, film, and the visual arts we will discuss topics such as the rivalry of competing national projects, the creative tension between tradition and avant-garde, the relationship between languages, literature, and society, and the struggles of women, among others. We will study towering cultural figures such as Emilia Pardo Bazán, Federico García Lorca, Mercè Rodoreda, Pablo Picasso, or Luis Buñuel, among many others. In addition to enhancing your knowledge of Iberian cultural history and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.",Miguel Martínez,Spring,SPAN 20300 or consent of instructor.,None,Taught in Spanish. This course is the equivalent of SPAN 21803.
258,SPAN 21903,Intro a las lit hispánicas: textos hispanoamericanos desde la colonia a la independencia,"This course examines an array of representative texts written in Spanish America from the colonial period to the late nineteenth century, underscoring not only their aesthetic qualities but also the historical conditions that made their production possible. Among authors studied are Christopher Columbus, Hernán Cortés, Sor Juana Inés de la Cruz, Simón Bolívar, and José Martí.",None,None,SPAN 20300 or consent of instructor.,Taught in Spanish. Course not offered in 24-25,"LACS 21903, CRES 21903"
259,SPAN 21905,Latin American Literatures and Cultures: Colonial and 19th-Century,"This course introduces students to the writing produced in Hispanic and Portuguese America during the period marked by the early processes of European colonization in the sixteenth century through the revolutionary movements that, in the nineteenth century, led to the establishment of independent nation-states across the continent. The assigned texts relate to the first encounters between Indigenous, Black, and European populations in the region, to the emergence of distinct (""New World"") notions of cultural identity (along with the invention of new racial categories), and to the disputes over the meaning of nationhood that characterized the anti-colonial struggles for independence. Issues covered in this survey include the idea of texts as spaces of cultural and political conflict; the relationships between Christianization, secularization, and practices of racialization; the transatlantic slave trade; the uses of the colonial past in early nationalist projects; and the aesthetic languages through which this production was partly articulated (such as the Barroco de Indias, or ""New World baroque,"" Neoclassicism, Romanticism, and Modernismo, among others). In addition to enhancing your knowledge of Latin American cultural history and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.","Larissa Brewer-Garcia, Carlos Halaburda",Autumn Spring,SPAN 20300 or consent of instructor.,Taught in Spanish. This course is the equivalent of SPAN 21903.,"CRES 21950, LACS 21900"
260,SPAN 21910,Contemporary Catalan Literature,"This course provides a survey of major authors, works, and trends in Catalan literature from the beginning of the twentieth century to the present. We study works representing various literary genres (novel, poetry, short story) and analyze the most important cultural debates of the period.",Staff,None,None,"This course will be conducted in English and/or Catalan, depending on the students' command of the language.","CATA 21900, SPAN 31910, CATA 31900"
261,SPAN 21950,"Dark Stairways of Desire"": Lusting beyond the Norm in Contemporary Catalan Literature","Although we can find a significant number of authors exploring queer desire and identities throughout the history of Catalan Literature (from lesbian scenes in Joanot Martorell's ""Tirant lo blanc"" to expanding gender identities in Maria Aurèlia Capmany's ""Quim/Quima""), more recent Catalan Literature is blooming with queerness and non-normative lust. This course will give an overview of contemporary Catalan works influenced by feminist and queer debates from the seventies on. Beginning with renowned poet Maria Mercè Marçal's only novel, ""The Passion According to Rennée Vivien,"" winner of several of the most prestigious literary awards for Catalan Literature, we will go on to discover 21st-century works by Eva Baltasar and Anna Punsoda. We will also read poems, short stories and excerpts from authors such as Maria Sevilla, Mireia Calafell, Raquel Santanera, Sebastià Portell, Sil Bel and Ian Bermúdez, among others.",Bel Olid,Winter,None,Taught in English.,"GNSE 23150, GLST 21950, CATA 21950"
262,SPAN 22003,Introducción a las literaturas hispánicas: del modernismo al presente,"Students in this course study an array of texts written in Spanish America from the late nineteenth century to the present, including the literature of the Hispanic diasporas. Authors may include José Martí, Rubén Darío, Mariano Azuela, Pablo Neruda, César Vallejo, Teresa de la Parra, Jorge Luis Borges, Octavio Paz, Rosario Castellanos, Mario Vargas Llosa, and Pedro Pietri.",None,None,SPAN 20300 or consent of instructor.,Taught in Spanish. Course not offered in 24-25,LACS 22003
263,SPAN 22005,Latin American Literatures and Cultures: 20th and 21st Centuries,"This course will survey some of the main literary and cultural tendencies in Latin America from the beginning of the twentieth century to the present. We will pay special attention to their aesthetic dimensions, as well as the socio-historical and political conditions that made them possible, and in which they simultaneously intervened. Questions to be studied might include the innovations of the Modernist and avant-garde movements, fantastic literature, the novel of the so-called ""Boom,"" cultural production associated with revolutionary movements, military dictatorships, and the Cold War, as well as new currents in literary and theatrical practices. Likewise, the course will foreground some of the following concepts relevant to the study of this production: modernity and modernization; development and neoliberalism; neo-colonialism and empire; cultural autonomy and ideas of poetic and cultural renewal; the epic vs. the novel; realism and non-verisimilitude; and performativity, among others. In addition to enhancing your knowledge of Latin American cultural history and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.","Agnes Lugo-Ortiz, Danielle Roper",Autumn Winter,SPAN 20300 or consent of instructor.,Taught in Spanish. This course is the equivalent of SPAN 22003.,"LACS 22005, CRES 21955"
264,SPAN 22266,Witchcraft and the Cultural Imagination,"This seminar takes as its focal point the vast range of conceptual, material, and visual artifacts that are produced by, and indeed help to construct, this enduring fascination with the figure of the witch, from the medieval past to the present. We will examine case studies from premodern Europe to Colonial North America to Indonesia, scrutinizing texts, films, and works of art. Rather than offering a standard history of witchcraft, we will explore the intersections of gender, labor, and representation that the figure of the witch makes specially available for study. Witchcraft constitutes a multifaceted phenomenon that aims to alter reality and the self through the use of various techniques, transmitted both orally and in writing. These techniques have often appeared culturally marked in terms of gender and belief. Witchcraft has for centuries been the business of women in societies where very few avenues existed for women to develop any sort of business.","T. Golan, N. Mourelle",Winter,None,Students must attend first class to confirm enrollment.,"ARTH 22266, ARTH 32266, GNSE 22288, GNSE 32288, SPAN 32266"
265,SPAN 22324,Empire and Nation in Modern Spain,"This course examines the relationship between cultural products and imperialism in 19th- and 20th-century Spain. We will follow the historical development of Spanish imperialism during that period and how it interacted with the contours of modernity, Spanish identity, and nation-building projects. Through studying texts and cultural products, including visual art and film, we will examine how writers, artists, and scholars represented and debated the multiple Spanish imperial practices in places such as Morocco, the Dominican Republic, and Equatorial Guinea. We will also analyze some responses to the loss of the last Spanish colonies -Cuba, Puerto Rico, and the Philippines- and Franco's involvement in imperial practices. Other topics we will address are the intersection of race and gender in colonized spaces; the construction of otherness; the colonial body; the connections between culture, empire, and science; and Spain's internal diversity and political struggles. Some of the authors we will study include Aurora Bertrana, Benito Pérez Galdós, Emilia Pardo Bazán, Pedro Antonio de Alarcón, Carmen de Burgos, Mariano Fortuny, among others.",Miriam Borerro Robledo,None,None,None,"Course readings, instruction, and discussion will be in Spanish. Course not offered in 24-25"
266,SPAN 22350,Speaking Truth to Power in Medieval Iberia,"In the multilingual and multireligious environment of the Iberian middle ages, poetry can express many things. And while literary history has granted a prestigious space to some of these things, such as love or spirituality, it has consistently neglected others, such as socio-political satire or vulgarity. This class will be paying attention to that other less talked-about poetry that gets into the political struggles of the period, that talks in profanities about profane things. In other words, the poetry that does not speak to the eternity of existence, but that gets its hands dirty with earthly matters. The poetry that savagely mocks and cuts through social conventions in a way that makes seem contemporary Twitter trolls benevolent in comparison. For this class we will be reading authors who wrote in Galician-Portuguese such as Joao Soares de Paiva or King Alfonso X, authors who wrote in Catalan such as Guillem de Bergueda or Ramon Vidal de Besalu, and authors who wrote in Spanish such as Juan Ruiz or Juan de Mena. Translations to Spanish will be provided or worked though class discussion.",N. Blanco Mourelle,None,None,Course not offered in 24-25,"MDVL 22350, CATA 22350, CATA 32350, PORT 22350, PORT 32350, SPAN 32350"
267,SPAN 22423,Gender and Sexuality in Early Modern Spain,"How did men and women understand their roles in early modern Spanish society as dictated by their gender? Could individuals challenge, or even transgress, the societal-and, therefore, gendered-norms by which they were bound? How were the ideals of femininity and masculinity constructed in artistic and literary production? To what extent were gender and sexuality fixed or fluid in the early modern imaginary? These are but a few of the questions that will be addressed in this course, as we examine the complexities and nuances of gender and sexuality in sixteenth- and seventeenth-century Spanish culture. We will engage primarily with literary sources, such as poetry, narrative, theatrical works, and autobiographical writings from key literary figures (Garcilaso de la Vega, Teresa de Ávila, María de Zayas, Lope de Vega, to name a few). Moreover, we will examine visual art as well as medical and moral treatises in order to gain as comprehensive as possible an understanding of the notion of gender and sexuality during this time period. 
In addition to expanding their knowledge of Spanish literature and culture, this course will allow students to continue enhancing their Spanish linguistic competence.",Lizette Arellano,None,None,Taught in Spanish. Course not offered in 24-25,GNSE 22423
268,SPAN 22424,"Between History and Fiction: Race, Modernity, and Revolution in the Hispanic Caribbean","This course will introduce students to twentieth-century historical fiction from Cuba, the Dominican Republic, and Puerto Rico. Reflecting on the ambiguous contours between history and fiction, we will use literature and film to illuminate cultural debates of Hispanic Caribbean modernity. How do literary and filmic representations of a historical past reflect on the present moment? What is fiction's relationship to archives and history? What can these fictional emplotments teach us about the crafting of national narratives? Particular attention will be given to questions of race and revolution - understood for our purposes as the constitutive vectors of Caribbean modernity - in the texts studied. Authors and filmmakers to be discussed may include Alejo Carpentier, Tomás Gutierrez Alea, Humberto Solás, Rita Indiana, Rosario Ferré, José Luis González, and Luis López Nieves, among others.",Cristina Esteves-Wolff,Spring,None,"The course, as well as most of the readings, will be in Spanish.",LACS 22424
269,SPAN 22521,"¿Qué onda, Siri? Ciencia Ficción Latinoamericana","Intercambio de cartas entre México y la luna, exploradores planetarios argentinos, hackers activistas en Bolivia y viajes en el tiempo para salvar el Caribe. Aunque a lo largo de su historia no haya gozado del mismo prestigio que otros géneros literarios, la ciencia ficción en América Latina tiene ejemplos que datan del siglo XVIII. Sin embargo, no es hasta los 1950s que el género empieza a ganar impulso editorial y, más tarde, académico. Ya en el siglo XXI, autores como Rita Indiana, Pola Oloixarac y Edmundo Paz Soldán han utilizado los variados elementos constitutivos del género y alcanzando incluso reconocimiento internacional. Frente a tal histórico, este curso busca contestar las siguientes preguntas: ¿De qué manera se asemeja y se difiere la ciencia ficción latinoamericana, de país a país, y en comparación al resto del mundo? ¿Cómo se mezclan los elementos tradicionales del género con las culturas nacionales y regionales del subcontinente? ¿Qué particularidades sociales, políticas, económicas, raciales y de género se manifiestan en estos textos que nos ayudan a pensar la realidad de esta región y que la ficción realista históricamente privilegiada no llega a escenificar? Para ello, nos ocuparemos de novelas, cuentos, poemas, películas, series de televisión y performances de América Latina, desde sus principios decimonónicos hasta el presente, enfocándonos en los elementos característicos del género y las representaciones culturales puestas en escena por estos artistas.",Eduardo Leao,None,SPAN 20300.,Taught in Spanish. Course not offered in 24-25,LACS 22521
270,SPAN 22523,Transpacific Des-orientations: Cultural Relations between Asia & Latin America (16th-21st centuries),"This course offers an overview of the cultural relations between Asia and Latin America from the 16th century to the present day. We will engage with these plural transpacific circulations - individuals, resources, goods, ideas, and sensibilities - through diverse material ranging from maps, poetry, visual arts, films, and essays to music, architecture, textiles, and social media. We will question the local and global implications of these exchanges in a (post)colonial world. A navigation between eras and areas, this course takes transpacific cultural relations as an opportunity to decenter the gaze. What do these early and dynamic circulations tell us about a globalization always centered on the (North) West of the planet? What happens with the old presumed categories of ""West"" and ""East"" when the world is lived and conceived from other locations and perspectives? What remains of ""Latin"" when America is apprehended from the ""Pacific Rim""? Drawing on close observations and analysis of representative cultural productions, this course seeks to map the importance and diversity of these transpacific cultural itineraries and to explore alternative ways of thinking about ""Latin America"" as a central agent of our connected modernities. Besides enhancing your knowledge of Latin American cultural history, this course is designed to help you improve your close reading and critical thinking skills, as well as continue building on your linguistic competence in Spanish.",Ysé Bourdon,None,None,Course not offered in 24-25,"LACS 22523, GLST 22523"
271,SPAN 22623,Writing Contagion,"This course offers a transhistorical overview of the connections between writing and plagues in the Hispanic World, from the seventeenth century to the present day. We will explore the ways in which literature, and the visual arts register and articulate moments of contagion and how they shape each other. Among other sources, we will engage with an artisan's diary of the early modern period, literary essays in periodicals of the 19th century, a novel about the AIDS epidemic, a TV series that represents a Black Plague outbreak, and journals of the Covid-19 pandemic. How are these moments of contagion construed? How are the chains of infection narrated? How are fear, loss and anxiety textualized? How do cultural products define the blurred lines of the public and the private during epidemics? Exploring a variety of plagues -from the Black Plague to the typhus and yellow fever outbreaks, the Spanish flu and AIDS epidemic, to our present Covid-19 pandemic- we will explore how epidemics affect writing, the narrators and styles that thrive under and after the experience of them, and the role they play altering, subverting, and adapting established genres. Besides adding to your knowledge of the Spanish-speaking world, and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.",Paulina León,None,None,Taught in Spanish. Course not offered in 24-25,HLTH 22623
272,SPAN 22701,"Poesía, nación y ciudadanía en el siglo XIX hispanoamericano","In this course we will explore the relationships between poetry and the constitution of the modern nation-state in nineteenth-century Spanish America. How did poetry partake in the early figuration of national historical imaginaries and in the foundation of their heroic pantheons? Through what languages and aesthetic procedures did it help foster patriotic sentiments and identifications? Was poetry a disciplinary tool for the formation of notions of citizenship and of civic values? Through a series of close textual readings, we will investigate the nature of the entanglement between the poetical and the demands of the political and inquire if there were moments when this relationship proved to be traversed by frictions, if not impossibilities. Authors we may read are José Joaquín Olmedo, Andrés Bello, Esteban Echeverría, José María Heredia, Plácido, Gertrudis Gómez de Avellaneda, José Hernández, José Gautier Benítez, Juana Borrero, Juan Zorrilla de San Martín, and Lola Rodríguez de Tió, among others.",Agnes Lugo-Ortiz,None,None,Course not offered in 24-25,"CRES 22701, LACS 32701, LACS 22701, SPAN 32701"
273,SPAN 22723,Censorship: A View From Literature,"En este curso analizaremos cómo la literatura ha interactuado con las prácticas de censura en las sociedades hispánicas. Nos preguntaremos cómo distintas obras literarias negociaron con las técnicas de control social de su tiempo, y cómo tales técnicas posibilitaron a su vez nuevas formas de expresión artística. Nos concentraremos, principalmente, en textos literarios de España y de América Latina de los siglos XVI y XVII (por ejemplo, Miguel de Cervantes, Pedro Calderón de la Barca y Sor Juana Inés de la Cruz), y los pondremos en diálogo con obras de ficción más recientes (Jorge Luis Borges, Carlos Fuentes, Mario Benedetti, Elsa Bonermann) y con discusiones teóricas en torno al control en la sociedad (Michel Foucault, Gilles Deleuze, Roland Barthes). Además de reflexionar sobre los vínculos entre literatura y sociedad en distintos períodos históricos, y de mejorar tus habilidades de lectura y pensamiento crítico, el curso está diseñado para continuar desarrollando tus habilidades lingüísticas y tu competencia en español.",Matías Spector,None,None,Taught in Spanish. Course not offered in 24-25,LACS 22723
274,SPAN 22770,"Que otros sean lo Normal"": Pertinencia y otredad en la literatura trans en español","¿Qué nos dicen de una sociedad sus alteridades? Es decir, ¿cómo nos informa de la norma lo que queda fuera de ella? A partir de la lectura y análisis de obras escritas por autores trans, conoceremos más a fondo la actualidad de algunos países hispanohablantes, centrándonos en un elemento básico de cualquier identidad: el género. 
El curso está organizado a partir de la lectura y visualización de materiales reales y con actividades orales y escritas dirigidas a ampliar el conocimiento de la literatura contemporánea en español (y las sociedades en las que florece), y también a reforzar las habilidades de expresión oral y escrita de les participantes.",Bel Olid,None,None,Taught in Spanish. Course not offered in 24-25,"GNSE 23158, GLST 22770"
275,SPAN 22821,Women and Horror in Contemporary Latin America,"In this seminar, students will explore questions relevant to both horror studies in general and contemporary Latin American horror specifically from a feminist perspective. What does horror as a genre contribute to the representation and exploration of women's experiences of terrifying events in Latin American history and politics? How can we understand the gendered dynamics of Latin American culture and politics through horror? What do gendered themes in Latin American horror say about societal attitudes, oppression, and struggles for equality? How does the representation of Latin American women in horror texts contribute to or subvert forms of oppression? 
This interdisciplinary course will transverse the region as well as genres, covering such texts as the short stories of Amparo Dávila (Mexico) and Mariana Enríquez (Argentina); novellas by Carlos Fuentes (Mexico) and Felisberto Hernández (Uruguay); and films such as As boas maneiras (Brazil, 2017).",Laura Colaneri,Winter,None,"Discussion will be in Spanish, with readings in both English and Spanish. Course not offered in 24-25","GNSE 22822, LACS 22821"
276,SPAN 22822,"Mexico City in Literature, Photography, and Film","How does one represent the largest Spanish-speaking city in the world? With a sprawling, 600-page novel? With a short-story? A feature film? Street photography or aerial views? Does the urban experience itself give shape to certain narratives or styles? This course will examine portrayals of Mexico City in literature, film, and photography since the 1950s, in order to attempt some answers. Just like Paris or New York, Mexico City has inspired generations of authors who have tried their hand at representing this 500-year-old city of roughly 22 million people. We will trace the city's modern transformations through those cultural products that aim to build an image of the place. How do these artworks shape (or contest) the collective imagination of the city? By examining representations of this Latin American capital, we will articulate questions regarding inequality, overpopulation, modernization, and the foreign gaze. In addition to cultivating critical and historical perspectives on the urban experience, we will also engage creatively with the city that surrounds us, Chicago. Works to be discussed may include the likes of Roberto Bolaño, Carlos Monsiváis, Alfonso Cuarón, Valeria Luiselli, and Juan Villoro, among others. Besides adding to your knowledge of Mexican cultural history, and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.",Luis Madrigal,None,Taught in Spanish. Course not offered in 24-25,LACS 22822,None
277,SPAN 23025,Vidas Infames: Sujetos heterodoxos en el mundo hispánico (1500-1800),"En este curso leeremos y discutiremos las vidas de varias mujeres y hombres comunes perseguidos por la Inquisición hispánica entre 1500 y 1800, aproximadamente, tanto en Europa y el Mediterráneo como en las Américas. La mayoría de estas vidas fueron dichas por los mismos acusados frente a un tribunal eclesiástico. Estas autobiografías orales, producidas en condiciones de máxima dureza y precariedad, revelan la forma en que la vida cotidiana es moldeada e interrumpida por el poder. Leeremos las historias de hombres transgénero, mujeres criptojudías, campesinos moriscos, renegados, profetas y monjas acusadas de sodomía, entre otras; y discutiremos temas como la relación entre poder y subjetividad, heterodoxia y cultura popular, las formas narrativas del yo o la articulación biográfica de la clase, la raza y el género en la primera modernidad. Estas 'vidas ínfimas', a pesar de su concreta individualidad, permiten ofrecer un amplio panorama de la historia cultural y social de España y América en la era de la Inquisición.",M. Martínez,Course not offered in 24-25.,None,Taught in Spanish.,"LACS 33025, SPAN 33025, LACS 23025"
278,SPAN 23125,Literatura latina de Chicago,"Examinaremos la centralidad de Chicago dentro de los estudios latinos. Partiendo de la lucha global de los 60 hasta la escena contemporánea, estudiaremos cómo desde Chicago se formaron identidades pan latinas incluso antes del uso sistemático de estas nociones. 
Iniciaremos con las migraciones de latinos a la ciudad. Examinaremos las nuevas reconfiguraciones identitarias y literarias que iniciaron a partir de la migración propagada por la invasión norteamericana a Puerto Rico, con la Guerra del 1898. Nos detendremos en las alianzas que sirvieron como plataformas de lucha a los latinos. Por ejemplo, las alianzas políticas entre los puertorriqueños Young Lords, los afroamericanos Black Panthers y los blancos Young Patriots. Y alianzas literarias desde donde se fue expresando la unidad identitaria latina. Estudiaremos poesía, ensayos, películas y obras teatrales de autores como David Hernández, Carlos Cumpián, Ana Castillo, Sandra Cisneros, Maya Piña, Raúl Dorantes entre otros.",Vianny Anaya Amado,Spring,None,None,Taught in Spanish.
279,SPAN 23200,"Renaissance Epic: Camões, Ercilla, Tasso","Due to the prestige and cultural ascendancy of its classical models, epic was considered the highest literary genre of the sixteenth-century repertoire, which forced Renaissance authors of epic poetry to explicitly compete against their illustrious predecessors and among themselves. This provides a perfect basis to study some mechanisms of textual production in Renaissance poetry, but it will also help us to raise issues around the European (and global) circulation of literary goods, cultural competition, the relation between epic, nation, and empire, or the contested place of epic among the constitutive discourses of colonialism. We will read three major Renaissance epic poems written and distributed in the same years: Alonso de Ercilla's The Araucaniad (1569-1590), Luís de Camões's The Lusiads (1572), and Torquato Tasso's Jerusalem Delivered (1581).",M. Martínez,Course not offered in 24-25.,None,"Texts will be provided in both the original languages and in English. In order to enrich the discussion, reading in the original will be encouraged for students with different language backgrounds and skills.","REMS 33200, SPAN 33200"
280,SPAN 23225,Decolonizing the Classics: Adaptive Performance in the Americas,"In this course, we will examine postcolonial performances of ""classical"" literary texts across the Americas that engage with transnational histories of imperialism, neoliberalism, migration, exile, and political and gendered violence. From the revolutions and dictatorships of the 1960s-70s, through the transitions to democracy, to the queer and feminist movements of the early 21st century, we will study contemporary adaptations of canonical authors such as Cervantes, Lope de Vega, and Sor Juana Inés de la Cruz. The position of these authors, texts, and characters in the literary canons of the Americas has allowed them to achieve circulation in both ""high"" and ""low"" culture, through modes of performance including film and television, live theater and dance, opera, popular music, drag, burlesque, and digital media. From the US-Mexico borderlands to the Southern Cone, these adaptations raise questions of national and postcolonial identity, gender and sexuality, and collective trauma and memory. We will use the theoretical frameworks of performance, decoloniality, and canonicity to think of adaptive performances as an act of deconstruction and remaking, and to trace how artists in the Americas respond to these historical legacies through embodied practice. The course will be taught primarily in Spanish, but will also include components in English, Spanglish, and optional readings in Portuguese.",Leora Baum,Winter,None,None,None
